2026-03-26 03:50:36 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-59dBm rsrp=-95dBm snr=3.2dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 03:51:09 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-61dBm rsrp=-95dBm snr=4.8dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 03:51:41 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-59dBm rsrp=-94dBm snr=0.6dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 03:52:13 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-59dBm rsrp=-95dBm snr=-1.4dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 03:52:45 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-59dBm rsrp=-94dBm snr=-0.6dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 03:53:17 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-59dBm rsrp=-95dBm snr=-2.4dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 03:53:50 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-63dBm rsrp=-95dBm snr=6.6dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 03:54:22 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-59dBm rsrp=-94dBm snr=2.0dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 03:54:54 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-60dBm rsrp=-95dBm snr=-1.0dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 03:55:26 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-61dBm rsrp=-95dBm snr=3.2dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 03:55:58 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-58dBm rsrp=-95dBm snr=-1.0dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 03:56:32 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-62dBm rsrp=-96dBm snr=4.4dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 03:57:04 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-60dBm rsrp=-94dBm snr=4.0dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
